Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
Crew 215  11 NOV 2019,SOL  1,Shane Usher,Opportunity  Suit 10  Suit 5 Helmet  No power to multiple downstairs wall sockets.,Opportunity brakes do not work  Suit 10 is not functioning  fuse type 5 is blown   Suit 5 Helmet falling apart  Suit 2 Battery supplying low power. Loft Tank Feed tank leaky  temporarily fixed with gaffer tape .,run,78%,54%,74%,N A,Notes on non nominal systems  Opportunity brakes do not work  Suit 10 is not functioning  fuse type 5 is blown   Suit 5 Helmet falling apart  Suit 2 Battery supplying low power.  Feed tank leaky  temporarily fixed with gaffer tape .,1457225,304  not filled,yes,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,yes,110.0,Before EVA   100%,On return from EVA  before recharging   100%,yes.,Non nominal systems    Suit 10  Suit 5 Helmet  No power to multiple downstairs wall sockets.,run  12h 30 min,,,,yes,115.7,Before EVA    100%,On return from EVA  before charging   100%,yes,not at hab,,,,,no,0,With DIRECTOR,At Grand Junction awaiting Crew 216,N A,Functional today  but CAPCOMs was down in  evening on Sol 0.,Suit 2 needs a replacement battery  Suit 5 Helmet falling,All systems nominal apart from  Stateroom5  Edison screw lightbulb Max 13W required  Fire alarm test button not working in Hab upper level  Fire alarm test button disintegrated in GreenHab  Numerous powerpoints not functional on the ground floor of hab. The water pump is very loud.,Atmospheric equalization to the green hab was carried out during the day  plants were watered  28L . The heater automatically came on at 5 pm.,,Nominal,Not used,All crew healthy,Static tank topped up to approximately 350 L. Water heater unusable. Opportunity is currently unusable.
Crew 214  9 11 2019,SOL  13,Andrew Wheeler,Opportunity  Suit 10,Opportunity brakes do not work  Suit 10 is not functioning,run,70%,55%,76%,N A,41,1456896,150  not filled,yes,,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,no,109.2,Before EVA   100%,On return from EVA  before recharging   100%,yes,Non nominal systems    Suit 10,run  13h,,,,no,115.0,Before EVA    100%,On return from EVA  before charging   100%,yes,not at hab,,,,,no,0,N A,CrewCar to Grand Junction and return for Crew 215,N A,Functional,Nominal,All systems nominal,Atmospheric equalization to the green hab was carried out during the day  plants were watered. The heater automatically came on at 5pm.,,Nominal,Not used,All crew healthy,Static tank not filled. Water heater unusable. Opportunity is currently unusable.
MDRS Supplemental  8 NOV 2019,,Shannon Rupert,n a,,,Running nominally with nighttime generator backup,still have a very small  leak to the generator and are,not checked,n a .,,n a,n a,yes,,,nothing to report,,,,,,Yes  operation nominal,,,,,Yes  operation nominal,,,,,Yes  brakes still an open issue. Buildup of,,,,,Yes  operation nominal.,,,,,Still not operational,,,,,,none,running  If   why  where  HabCar was used to haul water,CrewCar running  If used why  where  Yes  used to transport crew and,,All nominal. Business account needed a new,Nothing to report,New kitchen hardware arrived and was,Planting continues.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,supplies needed and requests  Nothing at this time.
Crew 214  8 11 2019,SOL  12,Andrew Wheeler,Opportunity  Suit 10,Opportunity brakes do not work  Suit 10 is not functioning,run,76%,55%,77%,N A,20,1456346,332,no,,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,no,108.8,Before EVA   100%,On return from EVA  before recharging   100%,yes,Non nominal systems    Suit 10,run  13h 45m,,,,no,114.7,Before EVA    100%,On return from EVA  before charging   100%,yes,not at hab,,,,,no,0,HabCar returned from service in Bicknell.,CrewCar returned from service in Bicknell.,N A,Functional,Nominal,All systems nominal,Atmospheric equalization to the green hab was carried out during the day  plants were watered. Additional seeds were catalogued in preparation for planting. GreenHab heater turned on automatically at 1700.,,Nominal,Not used,All crew healthy,Loft tank to be depleted to allow cleaning during crew changeover. Opportunity rover fully charged  however  the battery light is flashing and there is a bubbling sound coming from where the battery is located. It has been unplugged as a precaution.
Crew 214  6 11 2019,SOL  10,Andrew Wheeler,Opportunity  Suit 10,Opportunity brakes do not work  Suit 10 is not functioning,run,68%,60%,80%,N A,37,1455889,223,no,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,yes,108.4,Before EVA   100%,On return from EVA  before recharging   66%,yes,Non nominal systems    Suit 10,run  12h 40m,,,,yes,114.3,Before EVA    100%,On return from EVA  before charging   74%,yes,not at hab,,,,,no,0,N A,N A,The generator failed to recharge the batteries during the night.,Functional,Nominal,All systems nominal,Atmospheric equalization to the green hab was carried out during the day  plants were watered. 6 bags of soil obtained  which will be delivered to the Greenhab tomorrow.,,N A,Not used,All crew healthy,N A
Crew 214  5 11 2019,SOL  9,Andrew Wheeler,Opportunity  Suit 10,Opportunity brakes do not work  Suit 10 is not functioning,run,65%,60%,81%,N A,47,1455759,223,yes,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,yes,108.0,Before EVA   100%,On return from EVA  before recharging   58%,yes,Non nominal systems    Suit 10,run  11h 15m,,,,yes,113.9,Before EVA    100%,On return from EVA  before charging   56%,yes,not at hab,,,,,no,0,N A,N A,N A,Functional,5 Radios and 3 earpieces that need servicing have been identified and set aside  the battery for suit 10 is fully charged and it is Suit 10 that is not functional  further information on Suit 5 s helmet has been forwarded to Capcom.,All systems nominal,Atmospheric equalization to the green hab was carried out during the day  plants were watered..,All systems nominal. Sample processing following EVA was carried out.,N A,Not used,All crew healthy,Between 20191104 1140 and 20191105  1100  the micrometeorite grid has been visited and trampled by at least one smallish adult  wearing boots . This has compromised a number of the plots in the unsampled area and will affect the integrity of the experiment. Whilst this is disappointing  we realize we are on public land and  in retrospect  we should have erected a temporary sign and barrier stating  please keep clear   monitoring in progress  to prevent this. We believe future rotations may benefit from this advice. We note that our daily reports identify the specific location where our field research is undertaken.
Crew 214  4 11 2019,SOL  8,Andrew Wheeler,Opportunity  Suit 10,Opportunity brakes do not work  Suit 10 is not functioning,run,94%,60%,82%,N A,32,1455633,246,no,,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,yes,107.4,Before EVA   100%,On return from EVA  before recharging   52%,yes,Non nominal systems    Suit 10,run  13h 15m,,,,no,113.4,Before EVA    100%,On return from EVA  before charging   100%,yes,not at hab,,,,,no,0,N A,N A,N A,Functional,5 Radios and 3 earpieces that need servicing have been identified and set aside  the battery for suit 10 is fully charged and it is Suit 10 that is not functional  further information on Suit 5 s helmet has been forwarded to Capcom.,All systems nominal,Atmospheric equalization to the green hab was carried out during the day  plants were watered.,All systems nominal. Sample processing following EVA was carried out.,N A,Not used,All crew healthy,Acknowledge that the request for 6 radio batteries is being processed.
MDRS Supplemental  4 NOV 2019,,Shannon Rupert,n a,,,Ran nominally and without generator backup throughout  work party,% not checked,40 %  since then it has been refilled,n a .,,n a,n a. Static tank was cleaned during,yes,,,yes. We also filled and emptied the tank three times to flush it after the summer break.,,,,,,Yes  brought back to MDRS from town. Operation nominal.,,,,,Yes  brought back to MDRS from town. Operation nominal,,,,,Yes  brought back to MDRS from town.,,,,,Yes  brought back to MDRS from town. Operation nominal.,,,,,Still not operational. We are in the process of getting a trailer to take it for repairs.,,,,,,not recorded,running  If   why  where  Yes  but needed to be jumped when we first got here. Used to haul water.,CrewCar running  If used why  where  Yes  used to transport crew and supplies back and forth to town and Grand Junction. A sensor went out  and one of the volunteers was able to replace it. The check engine light is still on though  as they could not get it to turn off by disconnecting the battery.,,Hab and Astronomy accounts nominal but business account isn t working. Suspect router damage. re is supposed to be a technician here today  although they were scheduled for last week  so I m not going to hold my breath .,Suits were delivered by NorCal on October 25 and they are in beautiful shape. The prototype suit has been fitted with a video camera and will be used for Mars VR work. This gives us 6 two piece suits  which are located on new cabinets in,The front porch was repaired. The static water tank was cleaned. The wall heater downstairs was removed. The lower deck was refitted with IKEA cabinetry. While not the cubbies for the suits we were hoping for  it fills the lower deck and is,IKEA refitted the GreenHab with some cabinets and a couple of new benches and gave us some planters. The benches need to be coated with a water seal and the cabinets are metal  so care must be taken not to corrode them. I will make up a diagram of the new space soon.,Nothing was done in the ScienceDome. We attempted to put in the center island  but parts were missing  it was nice to know that even IKEA can have missing parts   so this refit is on hold until the May work party. A new heating ac,Nothing to report. Peter needed David and Atila s help to calibrate the focus on the robotic scope but all is well now.,Nothing to report. David is working on a plan to fix the low amp breakers than trip with the rovers.,Fire extinguishers need their annual inspection,supplies needed and requests  We need some general replacement supplies and I will be ordering them soon. We currently have the flatbed trailer loaded with materials needing to go to the dump. I will need to find a way to get it there.
Crew 214  3 11 2019,SOL  7,Andrew Wheeler,Opportunity  Suit 10,Opportunity brakes do not work  Suit 10 is not charging  Suit 5 helmet is coming apart,run,94%,65%,83%,N A,47,1455453,246,yes,,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,no,before EVA   107.0,Before EVA   100%,On return from EVA  before recharging   100%,yes,Non nominal systems    Suit 10,run  11h 40m,,,,no,113.4,Before EVA    100%,On return from EVA  before charging   100%,yes,not at hab,,,,,no,0,N A,N A,N A,Functional,4 radios not functional  Suit 10 not charging  need 6 extra batteries  Suit 5 helmet is coming apart,All systems nominal,Watering and fertilization of the soil commenced and 14 plants were planted.,All systems nominal.,N A,Not used,All crew healthy,Still need batteries for 6 radios  suit 5 helmet needs minor fix.
Crew 214  02 11 2019,SOL  6,David Mateus,Opportunity  suit 10,Oppy brakes do not work  Suit 10 is not charging,run,91%,70%,83 %,N A,50,1455280,263,Yes,150,0,no,,,,,,ASSIGNED TO DIRECTOR,,,,,No,before EVA   106.6 h,Before EVA   100%,On return from EVA  before recharging  100%,Yes,Non nominal systems    suit 10,run  14 30,,,No,Yes,113 4,Before EVA   100%,On return from EVA  before recharging  65%,Yes,It is not in the hab,,,,No,No,0,Used by assistant directors to go to town,No used,None,functional,Helmet 5 needs minor fix.,All systems are nominal,No used,All systems are nominal,No used,No used,All the crew are healthy,
Crew 214  01 11 2019,SOL  5,David Mateus,Opportunity  suit 10,Oppy brakes do not work  Suit 10 is not charging,run,71%,71 %,85 %,N A,17,1455145,301,No,150,0,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,tes,before EVA   106.6 h,Before EVA   100%,On return from EVA  before recharging  50%,Yes,Non nominal systems    suit 10,run  14,,,No,No,112.5,Before EVA   100%,On return from EVA  before recharging  100%,Yes,It is not in the hab,,,,No,No,0,Used by assistant director to go to town,No used,None,functional,used for EVA  Suit 10 is not charging and we need batteries for 6 radios,All systems are nominal,No used,All systems are nominal,No used,No used,All the crew are healthy,We need new batteries for six radios.
Crew 214  31 Oct 2019,SOL  4,David Mateus,Opportunity  suit 10  generator,Oppy brakes do not work  Suit 10 is not charging and the generator stopped working in the night,run  Stopped running in the night,77%,72 %,85 %,N A,30,1454950,301,No,150,0,no,,,,,,ASSIGNED TO DIRECTOR,,,,,No,before EVA   106.1 h,Before EVA   100%,On return from EVA  before recharging  100%,Yes,Non nominal systems    suit 10  generator,run  N A,,,No,Yes,112.5,Before EVA   100%,On return from EVA  before recharging  52%,Yes,It is not in the hab,,,,No,No,0,Used by assistant director to go to town,No used,None,functional,used for EVA  Suit 10 is not charging and we need batteries for 6 radios,All systems are nominal,No used,All systems are nominal,No used,No used,All the crew are healthy,We need new batteries for six radios.
Crew 214  30 10 2019,SOL  3,David Mateus,Opportunity  suit 10,Oppy brakes do not work and Suit 10 is not charging,run,80%,73 %,86 %,N A,40,1454844,301,Yes,150,0,no,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,before EVA   106.1 h,Before EVA   100%,On return from EVA  before recharging  47%,Yes,Non nominal systems    suit 10,run  14 00,,,No,Yes,112,Before EVA   100%,On return from EVA  before recharging  59%,Yes,It is not in the hab,,,,No,No,0,Used by assistant director to go to town,No used,None,functional,used for EVA  Suit 10 is not charging and we need batteries for 6 radios,All systems are nominal,No used,All systems are nominal  used for experiment preparations,No used,No used,All the crew are healthy,We need new batteries for six radios.
Crew 214  29 10 2019,SOL  2,David Mateus,Opportunity  suit 10,Oppy brakes do not work and Suit 10 is not charging,run,List any additional daytime hours when  generator was run  none         81%,75 %,88 %,N A,44,1454520,323,Yes,150,0,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,before EVA   105.5 h,Before EVA1   100%,On return from EVA1  before recharging  71%,Yes,Non nominal systems    suit 10,run  14 24,,,No,Yes,111.5,Before EVA1   100%,On return from EVA1  before recharging  81%,Yes,It is not in the hab,,,,No,No,0,Used by assistant director to go to town for water CrewCar used and why  where  Not used,HabCar used and why  where  Used by assistant director to go to town for water   Not used,None,functional,Not used,All systems are nominal,Not used,All systems are nominal  used for experiment preparations,Not used,Not used,All the crew are healthy Questions  concerns and requests to Mission Support  We need new batteries for six radios.,Summary of health and safety issues  All the crew are healthy    We need new batteries for six radios.
,,David Mateus,Opportunity,Its brakes do not work,run,84%,75 %,88 %,N A,47,1454197,350,Yes,0,0,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,No,before EVA   105.5 h,Before EVA   100%,On return from EVA  before recharging  100%,Yes,Non nominal systems,run  8.5,,,No,No,111.5,100%,100%,Yes,It is not in the hab,,,,No,No,0,Used by assistant directors to go to town,Used to go to Grand Junction,None,functional,No used,All systems are nominal,No used,All systems are nominal  used for experiment preparations,Re centered the focuser by the assistant directors,No used,All the crew are healthy,We need new batteries for six radios.
Off season   4 Sept 2019,SOL  n a,Shannon Rupert,Hab water filter is black,the water filter is black. I don t know that replacing it now would do anything so we will need to clean the system before any use in Oct.,,,71%,Shannon s  20%.  Main tank 41 %,8 .,,n a,400. 150 lons at Shannon s,Water  loft       no,n a,,no,,,,,,in town,,,,,in town,,,,,in town,,,,,in town,,,,,no,,,,,all working rovers in town being used and well cared for.,zero,Not used,Yes. To town for drinking water.,Productive meeting with Ikea  SLC .  We worked on changes to the plans provided by Ikea in Sweden to improve function over form. The plan is to do the upgrades in three stages  lower deck and GreenHab first to be completed during the October work party. A new kitchen and science lab will be installed later in the season.,nothing to report,nothing to report,nothing to report,Nothing to report.,Summary of ScienceDome  Dual split unit was installed in the interior but need the pad for the outside unit which did not get ordered. Once that is herewe will contact an Hvac company to add the refrigerant and then the Science Dome will have both ac and heat. This was installed mainly so we can keep the power system cool in the summer as the dome is pretty well insulated.,Nothing to report,nothing to report,continues to be unseasonably warm. I either have a cold or allergies.,
Off season   3 Sept 2019,SOL  n a,Shannon Rupert,two GreenHab breakers  new problem   on ENG breaker   known problem  new reaction,the power system failed on July 27th  based on data from my Dish Hopper . Three breakers in the Hab tripped as noted above and the short caused a stack mode fault that shut down the system. We got the Science Dome power on first by turning off all the breakers in the Hab  the throwing them one at a time. the ENG breaker is the plugs on the outer wall  which have needed replacement but we were waiting for the remodel. Apparently they shorted. The GreenHab issue is a puzzle and we will start by replacing the two breakers with new ones.,,,Generator  hours run   one hour. Generator has a small  leak that will need to be reported when the season starts. Battery needed to be jumped.,Shannon s is currently at 20% and will need a refill although we will probably need a new larger one due to the Intern trailer purchase.  Main tank 41 %,8 .,,n a,400  will need cleaning next month  150 lons at Shannon s,Water  loft       no,n a,,no,,,,,,in town,,,,,in town,,,,,in town,,,,,in town,,,,,no,,,,,all working rovers in town being used and well cared for.,one,Yes. Jumped to start  used to jump generator for start,Yes. Using it to travel back and forth to town as the road is too rough for my little rental car.,the campus is in decent shape  just has that sad abandoned quality it gets when no one is here. Little evidence of rodents  a few droppings in Hab s lower deck with none anywhere else. I will have a list of things getting repaired before the work party by the end of the week. We also have a new fifth wheel traler coming on campus for interns and grad students. It s pretty much a match for mine and will be parked along side mine. Thanks to the donor who supported its purchase  we will have a more active intern program this year.,all three accounts nominal. We changed  router as it wasn t working to the old Science one. I don t have my computer so can t use mine as the WiFi isn t turned on. One note of interest   there is a new cell tower in town and I have some limite text and web capabilities.,suits are still with NorCal. Radios are in bad shape. Most will need to be replaced,nothing to report except whoever left the rubber snake has freaked all of us out.,Nothing to report.,we will start installing the dual split ac  heat unit in the ScienceDome tomorrow,Peter confirms robotic Observatory is back on line.,nothing to report,it s very hot. With no power last night and 100 degrees in my trailer when I went to bed I slept poorly. Still hot today even with ac.,
Crew 213  24 May 2019,SOL  6,Dana Levin,None,,,80%  see above,73%,45%,4 .,,144250,400,Water  loft       yes,Greenhab ops have closed for the season  Crew 213 will not be performing greenhab ops,,no,,,,,,Personal rover of director used with her permission by CU  Staff,1 hour,100%,84,yes,yes,1,100,80,yes,yes,1,100,79,yes,,1,100,82,yes,no,,,,,nothing to report,0,Yes  to obtain water from town.,no  in Grand Junction,,functional,Suits are all working well. We are using our own radios.,nominal,none,Used for course lectures and briefings. All systems nominal,none identified as we are not using observatory,none,None at this time,None needed. Thank you so much for your support of our mission.
Crew 213  22 May 2019,SOL  4,Dana Levin,Weather.,,,68%  see above,76%,45%,4 .,,144100,400,Water  loft       yes,Greenhab ops have closed for the season  Crew 213 will not be performing greenhab ops,,no,,,,,,no,n a,,,,yes,2,100%,60%,yes,yes,2,100%,56%,yes,,2,100%,71%,yes,no,,,,,see above about curiosity off switch,0,Yes  to transport supplies for educational purposes during our training this afternoon,no  in Grand Junction,,functional,Suits are all working well. Crew 212 did a fantastic job of maintaining them. Give our numbers  we are using our own radios.,nominal,none,Used for course lectures and briefings. All systems nominal,none identified as we are not using observatory,none,None at this time,None needed. Thank you so much for your support of our mission.
Crew 213  21 May 2019,SOL  3,Dana Levin,Curiosity on switch is loose to the point where when you turn the key the entire assembly turns with it. If this is not remedied the eventual consequence may be tearing the on switch wire connections from torsional forces.,,,70%  see above,78%,45%,4 .,,144100,400,Water  loft       yes,Greenhab ops have closed for the season  Crew 213 will not be performing greenhab ops,,no,,,,,,Personal rover of director used with her permission by CU  Staff,1 hour,100%,68%,yes,yes,2,60%,15%,yes,yes,2,100%,60%,yes,Non nominal systems  Curiosity on switch is loose to the point where when you turn the key the entire assembly turns with it. If this is not remedied the eventual consequence may be tearing the on switch wire connections from torsional forces.,,,,,no,,,,,see above about curiosity off switch,0,Yes  to obtain water from town.,no  in Grand Junction,,functional,Suits are all working well. Crew 212 did a fantastic job of maintaining them. Give our numbers  we are using our own radios.,nominal,none,Used for course lectures and briefings. All systems nominal,none identified as we are not using observatory,none,None at this time,None needed. Thank you so much for your support of our mission.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crew 212  16 MAY 2019,SOL  11,Paolo Guardabasso,None.,Nothing to report.,,84at 7 40 PM,82%,45%,4,,143754.6,200,Water  loft       Yes,113,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes  USED BY DIRECTOR,From Director,100%,71%,Yes,Yes  USED BY DIRECTOR,From Director,76%,60%,Yes,No,96.6h,,,Yes,no  out of order,,,,,From Director  Sojo s battery bank was cleaned and batteries refilled with distilled water. Only one cell was critically low  below the metal  but it was still wet. 1.5 gallons of distilled water used. No connections were loose and no battery caps were trapped under the security bar. The thermistor on the Rangers need to go to get serviced. All the batteries on Oppi were cleaned and the batteries will be filled tomorrow. Oppi needs the brakes serviced  as they have failed and run out of brake fluid twice this season.,,Nothing to report.,Off Campus,Nothing to report.,Nothing to report.,Nothing to report.,after EVA 11  we had a debriefing and we worked on our experiments. The high winds have slightly damaged the tunnel covers in a few points.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,the new pump is working fine  but I just wanted a clarification  is it normal that the pump works in a pulsed mode  oscillating ON OFF  when a low quantity of water is required
Crew 212  15 MAY 2019,SOL  10,Paolo Guardabasso,None.,Nothing to report.,,74at 6 15 PM,85%,45%,4,,143678.1,260,Water  loft       Yes,122,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes  USED BY DIRECTOR FOR MAINTENANCE,,100%,,Yes,Yes  USED BY DIRECTOR  FOR MAINTENANCE,,99%,74%,No,No,96.6h,,,Yes,no  out of order,,,,,From Director  cleaned all the batteries on Spirit today and checked for loose connections. The connections were very corroded but not loose. Then I checked all the cells on the batteries. They were basically fine and I added 1 gallon of distilled water to them. However  there were three cells on one battery that could not be opened unless a security bar was removed. Apparently when others had filled the batteries they thought it would be fine to just ignore those cells rather than bother with the bar. The cells were completely dry. I filled them with about 1 2 gallon of distilled water and secured the bar again. I am currently charging the rover and we will see if that battery can recover. If not  I will switch it out with one on Opportunity for the remainder of the field season.,,Nothing to report.,Off Campus,,Nothing to report.,A headset was damaged during EVA 10.,,The hot weather required more water for the plants.,Nothing to report.,Nothing to report.,sand accumulated in the past EVAs was cleaned and drones were cleaned and repaired.,Nothing to report.,Burnable and Non Burnable trash is now in the Engineering airlock.
Crew 212  14 MAY 2019,SOL  9,Paolo Guardabasso,Rover Opportunity.,the rover Opportunity failed again this morning  during the engineering EVA that was performed to test the three rovers  see the dedicated EVA report .,,59at 7 00 PM,88%,46%,4,,Water  static tank    300 gallons  the value of yesterday was 380  it was probably overestimated  as the  says we consumed 41 gallons today,300  the value of yesterday was 380  it was probably overestimated  as the water meter says we consumed 41 lons today,Water  loft       Yes,130,,Yes,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,93.3h,100%,65%,Yes,Non nominal systems   .,,,,,Yes,96.6h,100%,87%,Yes,no  out of order,,,,,a 4 miles rover test was run during an Engineering EVA  a dedicated report will be sent to Mission Support   Opportunity stopped after 1.3 miles for battery overheating  similar to Sol 8 .,,Nothing to report.,Off Campus,the crew of EVA 10 had a delay on their scheduled return time. We received the new loft pump and we ll assemble it later tonight or tomorrow morning.,Nothing to report.,radio batteries are often giving wrong values  indicating full battery and then turning off . From now on  spare batteries will be brought during EVAs. See spacesuit report for more info.,The ceiling in the commander s room seems dryer than yesterday night  thanks to the temporary repair done yesterday.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,We re about to run out of milk  2 small bags   carbs  no pasta  1 portion each of rice   vegetables  no broccoli  only corn and onion left .
,Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crew 211  02 MAY 2019,SOL  11,Julien Amalaberque,The pump from the loft,Loft pump  Still some weird noises but it holds. The leak is still present  nothing changed with that.,,79 at 19 30 pm,100 %,49 %,4,,15 gallons,190,Water  loft       yes,65,,no,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,92.1h,100,66,yes,no,58h,,,no,yes,93.3h,100,71,yes,no  out of order,,,,,Nothing to report,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Some chards and carrots were harvested,Nothing to report,Nothing to report,Nothing to report,As we started the food inventory  we noted that a large majority of the food is expired.,
Crew 211  02 MAY 2019,SOL  11,Julien Amalaberque,The pump from the loft,Loft pump  Still some weird noises but it holds. The leak is still present  nothing changed with that.,,79 at 19 30 pm,100 %,49 %,4,,15 gallons,190,Water  loft       yes,65,,no,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,92.1h,100,66,yes,no,58h,,,no,yes,93.3h,100,71,yes,no  out of order,,,,,Nothing to report,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Some chards and carrots were harvested,Nothing to report,Nothing to report,Nothing to report,As we started the food inventory  we noted that a large majority of the food is expired.,
Crew 212  13 MAY 2019,SOL  8,Paolo Guardabasso,Rover Opportunity  Upper deck water pump  Kitchen sink.,rover Opportunity failed during EVA  on the way to the second EVA objective . For more details  look at the notes about the rovers and the EVA report for EVA  9.,,61at 7 45 PM,88 %,46%,4,,143583.1,380,Water  loft       Yes,137,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,No,92.8h,,,Yes,Non nominal systems     Upper deck water pump  Kitchen sink.,,,,,Yes,95.6h,100%,97%,Yes,no  out of order,,,,,Opportunity rover failed during EVA 9 because of overheating of battery  more details in EVA report   it was not possible to restart the engine until . Problem might be cause by lack of distilled water in radiator. Spirit rover battery has had anomalous consumption rates in the past days. A major rover check will be run tomorrow during an Engineering EVA.,,The HabCar was used to reach the location were Opportunity was left after it failed during EVA 9.,Off Campus,We captured another mouse last night  and it was set free today during EVA 9 at Cowboy s Corner. EVA 9 presented several challenges  see EVA report .,Nothing to report.,some suits batteries are at end of life  they lose charge very quickly  see spacesuit engineer report .,The ceiling in the commander s room is compromised by water and might have a localized collapse if weight is applied to it  a bucket had to be placed close to the bed. A mouse was found in the lower deck. Leaking of the sink in the kitchen has been found  and this could be the cause of the leaking reported in a previous report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,what is the level of usage of the potable water filter  It is quite brown at the moment  see photo attached . Should it be replaced together with the pump tomorrow night
Crew 212  12 MAY 2019,SOL  7,Paolo Guardabasso,None,Nothing to report,,61at 7 45 PM  From Director  a,90 %,46%  correcting the 45% of,4,,143547.8,100,Water  loft       Yes,140,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,No,92.8h,,79%,Yes,No,59.1h,,,Yes,Yes,95.1h,100%,78%,Yes,no  out of order,,,,,Curiosity was taken for the Engineering EVA that was performed to free the mouse  see general notes and comments,,Nothing to report,Off Campus,Notes on rovers  Curiosity was taken for the Engineering EVA that was performed to free the mouse  see,Nothing to report.,Nothing to report.,A mouse was found on the upper deck around 1 45AM  it was inside one of the rooms and then moved to another  passing under the doors. A trap was placed and the mouse walked into it. An Engineering EVA was performed in the morning to release it. Other points  it was not possible to fix the oven  the Space chess board is missing a pawn  the leak from the pump has now penetrated the roof in the commander s room through the loft floor plywood.,some sage was collected for lunch. A lizard was found inside  but it escaped once it saw a crew member.,cleaning was performed by the crew.,Nothing to report.,Drone cleaning  repairs and testing were performed.,Nothing to report.,we need a static water tank refill. We have run out of kitchen paper.
Crew 212  11 MAY 2019,SOL  6,Paolo Guardabasso,None,Nothing to report,,88at 7 30 PM,95%  From Director,45%,4,,143500.4,170,Water  loft       Yes,150,,Yes,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,92.8h,100%,79%,Yes,Yes,59.1h,,,Yes,Yes,,,,Yes,no  out of order,,,,,Curiosity and Opportunity were missing one wheel hubcap per rover. It s not yet clear exactly how they went missing but the Director is dealing with the matter and the one on Curi has already been replaced. A new charging cable was added in order to be able to charge 3 rovers at the same time.,,Nothing to report,Off Campus,The crew worked on their experiment and an EVA was delayed and lasted 1 hour instead of 2.,Nothing to report.,Some radios didn t hold their charge  major testing will be carried out in the coming days. Radios proved not working at a range of about 1 km from the Hab during EVA. Some spare batteries for suits were not able to recharge.,Fixing of the oven door is still ongoing.,The fan was turned on as the temperature passed 40  C and it managed to cool the room to 30 C.,Microbiological experiments were run.,The crew astronomer reported that the telescope is not properly focused.,Nothing to report.,Nothing to report.,Several tourist cars approached the MDRS  the one that passed the sign was stopped by the Director on its way to the Hab.
